x,year,total,primary,junior,senior,vocational,specialist,college,graduate
0,1978,1.67,0.64,2.28,3.72,3.67,3.75,2.54,0
1,1979,1.27,0.48,1.62,2.52,2.94,2.66,1.86,0
2,1980,1.23,0.4,1.45,2.31,2.79,2.51,1.93,0
3,1981,1.36,0.46,1.69,2.25,2.97,2.57,1.86,0
4,1982,2.14,0.91,2.66,3.63,3.89,3.46,2.78,0
5,1983,2.71,1.23,3.07,4.43,4.81,4.6,3.42,0
6,1984,2.45,1.02,2.59,4.01,4.38,4.2,3.46,0
7,1985,2.91,1.33,3.13,4.48,4.9,4.68,3.65,0
8,1986,2.66,1.12,2.85,4.22,4.49,3.99,3.49,0
9,1987,1.97,0.74,2.08,3.01,3.38,2.96,2.44,0
10,1988,1.69,0.62,1.77,2.33,2.83,2.6,2.06,0
11,1989,1.57,0.58,1.62,2.46,2.44,2.31,1.85,0
12,1990,1.67,0.58,1.73,2.38,2.55,2.46,2.03,0
13,1991,1.51,0.56,1.61,2.12,2.18,2.23,1.8,0
14,1992,1.51,0.49,1.52,2.05,2.17,2.05,2.28,0
15,1993,1.45,0.47,1.38,1.82,1.95,2.25,2.07,0
16,1994,1.56,0.6,1.53,1.8,2.04,2.12,2.38,0
17,1995,1.79,0.69,1.8,2.12,2.29,2.35,2.52,0
18,1996,2.6,1.4,2.77,2.82,3.06,3.14,3.13,0
19,1997,2.72,1.77,3.25,2.89,3.06,2.85,2.63,0
20,1998,2.69,1.65,2.97,2.85,3.18,2.9,2.67,0
21,1999,2.92,1.99,3.28,2.92,3.35,3.1,2.69,0
22,2000,2.99,2.05,3.5,2.96,3.48,2.9,2.67,0
23,2001,4.57,3.56,5.75,4.86,5.21,4.03,3.32,0
24,2002,5.17,3.87,6.28,5.55,6.04,4.6,3.89,0
25,2003,4.99,4.1,6.11,5.28,5.71,4.32,3.82,0
26,2004,4.44,3.35,5.13,4.52,4.98,4.02,4.11,0
27,2005,4.13,2.71,4.61,4.44,4.57,3.78,4.23,0
28,2006,3.91,2.31,3.89,4.13,4.43,3.55,4.36,0
29,2007,3.91,2.26,3.91,3.97,4.41,3.36,4.51,0
30,2008,4.14,2.66,4.52,4.36,4.33,3.44,4.78,0
31,2009,5.85,4.35,6.83,6.07,6.23,4.96,5.98,0
32,2010,5.21,3.27,5.84,5.43,5.63,4.33,5.62,0
33,2011,4.39,2.52,4.44,4.75,4.63,3.4,5.79,2.97
34,2012,4.24,2.32,4.27,4.45,4.15,3.18,5.9,3.49
35,2013,4.18,2.29,4.29,4.25,4.06,3.11,5.81,3.29
36,2014,3.96,2.04,3.87,3.79,3.85,3.09,5.58,2.97
37,2015,3.78,1.84,3.29,3.8,3.84,2.75,5.34,2.94
38,2016,3.92,2.31,3.52,3.99,3.87,2.91,5.38,3
